Date,AMZN US Equity,BNDX US Equity,DAX Index,EURUSD BGN Curncy,GS US Equity,GOOGl US Equity,TSLA US Equity,,,,,,
7/4/15,18.721,54.02,12123.52,1.0814,192.39,27.243,13.55,,,,,,
8/4/15,19.06,54.09,12035.86,1.0781,192.56,27.442,13.8447,,,,,,
9/4/15,19.177,54.07,12166.44,1.0659,194.89,27.401,14.006,,,,,,
10/4/15,19.133,54.12,12374.73,1.0604,195.64,27.427,14.06,,,,,,
13/4/15,19.118,54.14,12338.73,1.0567,195.58,27.432,13.9853,,,,,,
14/4/15,19.256,54.19,12227.6,1.0655,197.72,26.989,13.8307,,,,,,
15/4/15,19.173,54.23,12231.34,1.0684,201.1,27.052,13.8553,,,,,,
16/4/15,19.302,54.14,11998.86,1.0761,200.21,27.176,13.78,,,,,,
17/4/15,18.778,54.16,11688.7,1.0806,197.35,26.637,13.786,,,,,,
20/4/15,19.476,54.09,11891.91,1.0738,198.1,27.226,13.6847,,,,,,
21/4/15,19.559,54,11939.58,1.0736,196.84,27.146,13.9607,,,,,,
22/4/15,19.49,53.9,11867.37,1.0725,198.32,27.459,14.6293,,,,,,
23/4/15,19.5,53.87,11723.58,1.0824,199.31,27.873,14.5733,,,,,,
24/4/15,22.255,54.06,11810.85,1.0873,197.99,28.683,14.5617,,,,,,#
27/4/15,21.928,54.02,12039.16,1.0891,196.52,28.306,15.4367,,,,,,
28/4/15,21.466,53.97,11811.66,1.0981,197.49,28.219,15.3653,,,,,,
29/4/15,21.469,53.55,11432.72,1.1128,198.56,28.069,15.4967,,,,,,
30/4/15,21.089,53.48,11454.38,1.1224,196.42,27.438,15.07,,,,,,
4/5/15,21.152,53.26,11619.85,1.1146,199.3,27.642,15.3673,,,,,,
5/5/15,21.06,53.07,11327.68,1.1185,197.29,27.152,15.53,,,,,,
6/5/15,20.955,52.78,11350.15,1.1347,196.25,26.754,15.362,,,,,,
7/5/15,21.344,52.92,11407.97,1.1267,197.39,27.102,15.7867,,,,,,
8/5/15,21.685,53.03,11709.73,1.1199,200.5,27.448,15.774,,,,,,
11/5/15,21.643,52.88,11673.35,1.1155,201.73,27.289,15.966,,,,,,
